詳細功能說明,方向 (廣義),功能類別,系統性質 (自主 vs 軀體),神經核 (Nucleus),腦神經,位置層次
"傳導嗅覺訊息","感覺 (SVA)","特殊內臟感覺","內臟感覺系統","嗅球","I 嗅神經","端腦"
"傳導視覺訊息","感覺 (SSA)","特殊軀體感覺","軀體感覺系統","外側膝狀體","II 視神經","間腦"
"瞳孔收縮、睫狀肌調節 (副交感控制平滑肌)","運動 (GVE)","內臟運動","自主神經 (副交感)","埃-韋二氏核","III 動眼神經","中腦"
"控制眼球運動（上、下、內直肌、下斜肌）及提上瞼肌","運動 (GSE)","軀體運動","軀體運動系統","動眼神經核","III 動眼神經","中腦"
"傳導頭面部深層本體感覺 (如肌肉壓力)","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經中腦核","V 三叉神經","中腦"
"控制眼球運動（上斜肌）","運動 (GSE)","軀體運動","軀體運動系統","滑車神經核","IV 滑車神經","中腦"
"支配咀嚼肌、下頜舌骨肌、二腹肌前腹","運動 (SVE)","軀體運動 (特殊)","軀體運動系統","三叉神經運動核","V 三叉神經","橋腦"
"傳導頭面部皮膚、口腔黏膜之觸覺/壓力覺","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經主感覺核","V 三叉神經","橋腦"
"控制眼球運動（外直肌）","運動 (GSE)","軀體運動","軀體運動系統","外展神經核","VI 外展神經","橋腦"
"支配表情肌、鐙骨肌、二腹肌後腹","運動 (SVE)","軀體運動 (特殊)","軀體運動系統","面神經運動核","VII 面神經","橋腦"
"支配淚腺、鼻腺、下頜下、舌下腺分泌 (副交感)","運動 (GVE)","內臟運動","自主神經 (副交感)","上唾液核","VII 面神經","橋腦"
"傳導平衡覺（包含線性與旋轉加速度）","感覺 (SSA)","特殊軀體感覺","軀體感覺系統","前庭神經核","VIII 前庭耳蝸神經","橋腦/延髓"
"傳導聽覺訊息","感覺 (SSA)","特殊軀體感覺","軀體感覺系統","蝸神經核","VIII 前庭耳蝸神經","橋腦/延髓"
"支配腮腺分泌 (副交感控制腺體)","運動 (GVE)","內臟運動","自主神經 (副交感)","下唾液核","IX 舌咽神經","延髓"
"支配莖突咽肌 (輔助吞嚥)","運動 (SVE)","軀體運動 (特殊)","軀體運動系統","疑核","IX 舌咽神經","延髓"
"支配咽喉肌肉（吞嚥、發音）與食道上段","運動 (SVE)","軀體運動 (特殊)","軀體運動系統","疑核","X 迷走神經","延髓"
"傳導舌前 2/3 之味覺","感覺 (SVA)","特殊內臟感覺","內臟感覺系統","孤束核 (首端)","VII 面神經","延髓"
"傳導舌後 1/3 之味覺","感覺 (SVA)","特殊內臟感覺","內臟感覺系統","孤束核 (首端)","IX 舌咽神經","延髓"
"傳導會厭部區域之味覺","感覺 (SVA)","特殊內臟感覺","內臟感覺系統","孤束核 (首端)","X 迷走神經","延髓"
"監測頸動脈竇 (血壓) 與頸動脈體 (化學受器)","感覺 (GVA)","內臟感覺","內臟感覺系統","孤束核 (尾端)","IX 舌咽神經","延髓"
"監測主動脈弓受器及胸腹腔內臟器官感覺","感覺 (GVA)","內臟感覺","內臟感覺系統","孤束核 (尾端)","X 迷走神經","延髓"
"支配胸腹腔內臟平滑肌、腺體與心肌活動 (副交感)","運動 (GVE)","內臟運動","自主神經 (副交感)","迷走神經背核","X 迷走神經","延髓"
"控制舌肌運動（舌內肌與大部分舌外肌）","運動 (GSE)","軀體運動","軀體運動系統","舌下神經核","XII 舌下神經","延髓"
"傳導頭面部之一般感覺 (痛覺、溫度覺)","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經脊髓核","V 三叉神經","延髓至頸髓"
"傳導耳廓、外耳道部分區域之一般感覺","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經脊髓核","VII 面神經","延髓至頸髓"
"傳導耳後、外耳道、中耳、咽部之一般感覺","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經脊髓核","IX 舌咽神經","延髓至頸髓"
"傳導外耳道、咽部、喉部、後顱窩腦膜之感覺","感覺 (GSA)","軀體感覺","軀體感覺系統","三叉神經脊髓核","X 迷走神經","延髓至頸髓"
"支配胸鎖乳突肌、斜方肌（負責轉頭與聳肩）","運動 (SVE)","軀體運動 (特殊)","軀體運動系統","副神經核 (脊髓部)","XI 副神經","上段頸髓"