車次,竹中,上員,榮華,竹東,橫山,九讚頭,合興,富貴,內灣
1802,5:19,5:24,5:30,5:36,5:42,5:46,5:51,5:55,6:00
1804,6:53,6:58,7:04,7:09,7:15,7:20,7:25,7:29,7:34
1806,7:57,8:02,8:08,8:14,8:20,8:24,8:29,8:33,8:38
1808,8:47,8:52,8:58,9:10,9:16,9:20,9:25,9:29,9:34
1812,9:52,9:57,10:03,10:10,10:16,10:20,10:25,10:29,10:34
1814,10:52,10:57,11:03,11:10,11:16,11:20,11:25,11:29,11:34
1816,11:52,11:57,12:03,12:10,12:16,12:20,12:25,12:29,12:34
1818,12:52,12:57,13:03,13:10,13:16,13:20,13:25,13:29,13:34
1820,12:52,12:57,13:03,13:10,13:16,13:20,13:25,13:29,13:34
1822,13:52,13:57,14:03,14:10,14:16,14:20,14:25,14:29,14:34
1824,14:52,14:57,15:03,15:10,15:16,15:20,15:25,15:29,15:34
1826,15:52,15:57,16:03,16:10,16:16,16:20,16:25,16:29,16:34
1828,16:52,16:57,17:03,17:10,17:16,17:20,17:25,17:29,17:34
1832,17:52,17:57,18:03,18:10,18:16,18:20,18:25,18:29,18:34
1834,17:52,17:57,18:03,18:10,18:16,18:20,18:25,18:29,18:34
1836,18:52,18:57,19:03,19:10,19:16,19:20,19:25,19:29,19:34
1838,19:52,19:57,20:03,20:10,20:16,20:20,20:25,20:29,20:34
1842,21:52,21:57,22:03,22:10,22:16,22:20,22:25,22:29,22:34
1844,22:52,22:57,23:03,23:07,,,,,
1846,6:11,6:16,6:22,6:30,6:36,6:40,6:45,6:49,6:54
1848,20:52,20:57,21:03,21:10,21:16,21:20,21:25,21:29,21:34